[2026-01-31 22:58:59,641: INFO: main: Welcome to our custom log]
[2026-01-31 23:08:24,188: INFO: main: Welcome to our custom log]
[2026-02-08 01:21:16,837: INFO: common: yaml file: config/config.yaml loaded successfully]
[2026-02-08 01:21:16,841: INFO: common: yaml file: params.yaml loaded successfully]
[2026-02-08 01:24:38,592: INFO: common: yaml file: config/config.yaml loaded successfully]
[2026-02-08 01:24:38,594: INFO: common: yaml file: params.yaml loaded successfully]
[2026-02-08 01:24:38,595: INFO: common: created directory at: artifacts]
[2026-02-08 01:37:52,800: INFO: common: yaml file: config/config.yaml loaded successfully]
[2026-02-08 01:37:52,803: INFO: common: yaml file: params.yaml loaded successfully]
[2026-02-08 01:37:52,805: INFO: common: created directory at: artifacts]
[2026-02-08 01:46:20,768: INFO: common: yaml file: config/config.yaml loaded successfully]
[2026-02-08 01:46:20,770: INFO: common: yaml file: params.yaml loaded successfully]
[2026-02-08 01:46:20,772: INFO: common: created directory at: artifacts]
[2026-02-08 01:48:02,936: INFO: common: yaml file: config/config.yaml loaded successfully]
[2026-02-08 01:48:02,938: INFO: common: yaml file: params.yaml loaded successfully]
[2026-02-08 01:48:02,939: INFO: common: created directory at: artifacts]
[2026-02-08 01:51:01,956: INFO: common: yaml file: config/config.yaml loaded successfully]
[2026-02-08 01:51:01,958: INFO: common: yaml file: params.yaml loaded successfully]
[2026-02-08 01:51:01,959: INFO: common: created directory at: artifacts]
[2026-02-08 01:51:44,202: INFO: common: yaml file: config/config.yaml loaded successfully]
[2026-02-08 01:51:44,203: INFO: common: yaml file: params.yaml loaded successfully]
[2026-02-08 01:51:44,205: INFO: common: created directory at: artifacts]
[2026-02-08 01:52:06,342: INFO: common: yaml file: config/config.yaml loaded successfully]
[2026-02-08 01:52:06,345: INFO: common: yaml file: params.yaml loaded successfully]
[2026-02-08 01:52:06,347: INFO: common: created directory at: artifacts]
[2026-02-08 02:15:03,464: INFO: common: yaml file: config/config.yaml loaded successfully]
[2026-02-08 02:15:03,466: INFO: common: yaml file: params.yaml loaded successfully]
[2026-02-08 02:15:03,467: INFO: common: created directory at: artifacts]
[2026-02-08 02:28:07,938: INFO: common: yaml file: config/config.yaml loaded successfully]
[2026-02-08 02:28:07,940: INFO: common: yaml file: params.yaml loaded successfully]
[2026-02-08 02:28:07,940: INFO: common: created directory at: artifacts]
[2026-02-08 02:28:07,941: INFO: common: created directory at: artifacts/data_ingestion]
[2026-02-08 02:53:48,327: INFO: common: yaml file: config/config.yaml loaded successfully]
[2026-02-08 02:53:48,329: INFO: common: yaml file: params.yaml loaded successfully]
[2026-02-08 02:53:48,329: INFO: common: created directory at: artifacts]
[2026-02-08 02:53:48,331: INFO: common: created directory at: artifacts/data_ingestion]
[2026-02-08 03:01:19,211: INFO: common: yaml file: config/config.yaml loaded successfully]
[2026-02-08 03:01:19,213: INFO: common: yaml file: params.yaml loaded successfully]
[2026-02-08 03:01:19,214: INFO: common: created directory at: artifacts]
[2026-02-08 03:01:19,216: INFO: common: created directory at: artifacts/data_ingestion]
[2026-02-08 03:07:36,259: INFO: common: yaml file: config/config.yaml loaded successfully]
[2026-02-08 03:07:36,262: INFO: common: yaml file: params.yaml loaded successfully]
[2026-02-08 03:07:36,263: INFO: common: created directory at: artifacts]
[2026-02-08 03:07:36,264: INFO: common: created directory at: artifacts/data_ingestion]
[2026-02-08 03:23:30,247: INFO: common: yaml file: config/config.yaml loaded successfully]
[2026-02-08 03:23:30,250: INFO: common: yaml file: params.yaml loaded successfully]
[2026-02-08 03:23:30,253: INFO: common: created directory at: artifacts]
[2026-02-08 03:23:30,255: INFO: common: created directory at: artifacts/data_ingestion]
[2026-02-08 03:26:00,048: INFO: common: yaml file: config/config.yaml loaded successfully]
[2026-02-08 03:26:00,049: INFO: common: yaml file: params.yaml loaded successfully]
[2026-02-08 03:26:00,050: INFO: common: created directory at: artifacts]
[2026-02-08 03:26:00,051: INFO: common: created directory at: artifacts/data_ingestion]
[2026-02-08 03:26:06,136: INFO: common: yaml file: config/config.yaml loaded successfully]
[2026-02-08 03:26:06,138: INFO: common: yaml file: params.yaml loaded successfully]
[2026-02-08 03:26:06,140: INFO: common: created directory at: artifacts]
[2026-02-08 03:26:06,141: INFO: common: created directory at: artifacts/data_ingestion]
[2026-02-08 03:26:06,142: INFO: 1634236189: Downloading form data https://drive.google.com/file/d/15C-VzAvERycouqPB1M6SaY8sGitCBoN5/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2026-02-08 03:26:25,179: INFO: 1634236189: Downloaded data from https://drive.google.com/file/d/15C-VzAvERycouqPB1M6SaY8sGitCBoN5/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2026-02-08 15:40:25,601: INFO: main: >>>>stage Data Ingestion Stage  started <<<<<]
[2026-02-08 15:40:25,603: INFO: common: yaml file: config/config.yaml loaded successfully]
[2026-02-08 15:40:25,610: INFO: common: yaml file: params.yaml loaded successfully]
[2026-02-08 15:40:25,611: INFO: common: created directory at: artifacts]
[2026-02-08 15:40:25,611: INFO: common: created directory at: artifacts/data_ingestion]
[2026-02-08 15:40:25,611: INFO: data_ingestion: Downloading form data https://drive.google.com/file/d/15C-VzAvERycouqPB1M6SaY8sGitCBoN5/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2026-02-08 15:42:28,093: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/15C-VzAvERycouqPB1M6SaY8sGitCBoN5/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2026-02-08 15:42:28,434: ERROR: main: 'Logger' object has no attribute 'infor']
Traceback (most recent call last):
  File "main.py", line 11, in <module>
    logger.infor(f">>>>stage {STAGE_NAME} completed <<<<<\n\nx=========x")
AttributeError: 'Logger' object has no attribute 'infor'
[2026-02-08 15:43:44,507: INFO: main: >>>>stage Data Ingestion Stage  started <<<<<]
[2026-02-08 15:43:44,508: INFO: common: yaml file: config/config.yaml loaded successfully]
[2026-02-08 15:43:44,508: INFO: common: yaml file: params.yaml loaded successfully]
[2026-02-08 15:43:44,509: INFO: common: created directory at: artifacts]
[2026-02-08 15:43:44,509: INFO: common: created directory at: artifacts/data_ingestion]
[2026-02-08 15:43:44,509: INFO: data_ingestion: Downloading form data https://drive.google.com/file/d/15C-VzAvERycouqPB1M6SaY8sGitCBoN5/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2026-02-08 15:44:02,430: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/15C-VzAvERycouqPB1M6SaY8sGitCBoN5/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2026-02-08 15:44:02,779: ERROR: main: 'Logger' object has no attribute 'infor']
Traceback (most recent call last):
  File "main.py", line 11, in <module>
    logger.infor(f">>>>stage {STAGE_NAME} completed <<<<<\n\nx=========x")
AttributeError: 'Logger' object has no attribute 'infor'
[2026-02-08 15:44:23,380: INFO: main: >>>>stage Data Ingestion Stage  started <<<<<]
[2026-02-08 15:44:23,381: INFO: common: yaml file: config/config.yaml loaded successfully]
[2026-02-08 15:44:23,382: INFO: common: yaml file: params.yaml loaded successfully]
[2026-02-08 15:44:23,382: INFO: common: created directory at: artifacts]
[2026-02-08 15:44:23,382: INFO: common: created directory at: artifacts/data_ingestion]
[2026-02-08 15:44:23,382: INFO: data_ingestion: Downloading form data https://drive.google.com/file/d/15C-VzAvERycouqPB1M6SaY8sGitCBoN5/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2026-02-08 15:44:43,951: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/15C-VzAvERycouqPB1M6SaY8sGitCBoN5/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2026-02-08 15:44:44,290: INFO: main: >>>>stage Data Ingestion Stage  completed <<<<<

x=========x]
